,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
233,1.71,18.92,21.3,1.71,0.01,snaive,8.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_8.pickle,20.0,25.0,91.19380811714433,62.75336621994722,48.33248360810479,29.597010054793106,2019-01-15 00:00:00
234,2.01,20.97,23.62,1.78,0.02,snaive,8.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_8.pickle,22.0,27.5,90.53586058184098,62.47757019108815,48.03001848404441,29.531704686111247,2019-01-15 00:00:00
235,1.98,18.12,21.04,1.81,0.02,snaive,8.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_8.pickle,24.0,30.0,91.87263489310759,66.30197928126793,48.432350053323596,31.358615510983228,2019-01-15 00:00:00
236,1.91,16.2,17.92,1.65,0.03,snaive,8.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_8.pickle,26.0,32.5,92.91567047051467,64.56630043271252,49.041764863991325,30.382183793273853,2019-01-15 00:00:00
237,2.24,18.03,19.37,1.61,0.03,snaive,8.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_8.pickle,28.0,35.0,92.61460663754366,65.09972790602306,48.883078040599884,30.672762904050728,2019-01-15 00:00:00
238,2.22,16.53,18.41,1.7,0.04,snaive,8.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_8.pickle,30.0,37.5,92.5475202996138,65.15586730892119,48.81192765550075,30.69477112397415,2019-01-15 00:00:00
239,2.67,17.16,18.75,1.73,0.02,snaive,8.0,70.0,105.0,2019-12-31 23:45:00,{},data/35_8.pickle,35.0,43.75,93.14384808758486,67.64249066914849,48.958497996755085,31.89003761499438,2019-01-15 00:00:00
240,2.8,15.71,17.67,1.72,0.03,snaive,8.0,80.0,120.0,2019-12-31 23:45:00,{},data/40_8.pickle,40.0,50.0,93.03202070583352,65.58163010624253,49.20133278374776,31.01318006506153,2019-01-15 00:00:00
241,2.96,14.6,15.94,1.7,0.03,snaive,8.0,90.0,135.0,2019-12-31 23:45:00,{},data/45_8.pickle,45.0,56.25,94.02643357158594,67.1840686904031,49.36196736792727,31.57579540215741,2019-01-15 00:00:00
242,3.04,13.62,15.61,1.65,0.02,snaive,8.0,100.0,150.0,2019-12-31 23:45:00,{},data/50_8.pickle,50.0,62.5,93.29997147910105,63.99024135395,49.298389173127234,30.14353552568959,2019-01-15 00:00:00
243,3.12,12.61,13.36,1.72,0.04,snaive,8.0,110.0,165.0,2019-12-31 23:45:00,{},data/55_8.pickle,55.0,68.75,94.31179651402623,65.88907433499239,49.7951752257962,31.098065669231936,2019-01-15 00:00:00
244,3.4,12.56,13.75,1.59,0.04,snaive,8.0,120.0,180.0,2019-12-31 23:45:00,{},data/60_8.pickle,60.0,75.0,94.5823740892586,66.36813671027384,49.751695438868545,31.193447419118787,2019-01-15 00:00:00
245,3.53,12.02,13.18,1.68,0.05,snaive,8.0,130.0,195.0,2019-12-31 23:45:00,{},data/65_8.pickle,65.0,81.25,94.45989610071545,66.12410575373342,49.79073573088311,31.169546753756617,2019-01-15 00:00:00
246,3.55,11.14,12.23,1.64,0.06,snaive,8.0,140.0,210.0,2019-12-31 23:45:00,{},data/70_8.pickle,70.0,87.5,94.94342489237827,66.72791024099563,50.028916737911125,31.467586919138054,2019-01-15 00:00:00
247,3.82,11.21,12.21,1.66,0.05,snaive,8.0,150.0,225.0,2019-12-31 23:45:00,{},data/75_8.pickle,75.0,93.75,95.122780792728,67.0936849837525,50.01395609432428,31.569907052608826,2019-01-15 00:00:00
248,3.96,11.0,11.98,1.67,0.05,snaive,8.0,160.0,240.0,2019-12-31 23:45:00,{},data/80_8.pickle,80.0,100.0,94.6523140049614,65.85807903278129,49.86409939496749,31.007284795476718,2019-01-15 00:00:00
249,4.13,10.68,11.7,1.68,0.07,snaive,8.0,170.0,255.0,2019-12-31 23:45:00,{},data/85_8.pickle,85.0,106.25,95.01526354848028,66.20028019313091,50.105303733896754,31.203287563882647,2019-01-15 00:00:00
250,4.32,10.64,11.64,1.69,0.06,snaive,8.0,180.0,270.0,2019-12-31 23:45:00,{},data/90_8.pickle,90.0,112.5,94.69433307184563,65.26587596222434,50.05262822840434,30.79503061910957,2019-01-15 00:00:00
251,4.39,10.2,11.19,1.68,0.07,snaive,8.0,190.0,285.0,2019-12-31 23:45:00,{},data/95_8.pickle,95.0,118.75,95.03000831732858,65.94841471984728,50.15593981583049,31.10777964132114,2019-01-15 00:00:00
252,0.39,42.41,57.13,1.88,-0.0,snaive,9.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_9.pickle,2.0,2.5,83.84525357915793,58.14607494325319,44.77214380502575,27.358082481480782,2019-01-15 00:00:00
253,0.67,49.99,46.98,1.64,0.01,snaive,9.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_9.pickle,4.0,5.0,85.80039345705255,61.858571433219815,45.269907625026356,29.06541527664546,2019-01-15 00:00:00
254,0.86,32.74,37.88,1.68,0.0,snaive,9.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_9.pickle,6.0,7.5,88.75622716038953,68.94342242453106,46.06975481067977,32.2033198504085,2019-01-15 00:00:00
255,1.04,27.16,34.61,1.73,-0.01,snaive,9.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_9.pickle,8.0,10.0,89.06233471646979,68.22092431751328,46.65097823478818,32.13707205005713,2019-01-15 00:00:00
256,1.21,27.64,30.9,1.64,0.0,snaive,9.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_9.pickle,10.0,12.5,89.74158921547027,65.49517861802174,47.3871894599762,30.877867721068032,2019-01-15 00:00:00
257,1.53,29.74,31.24,1.65,0.01,snaive,9.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_9.pickle,12.0,15.0,89.34208285282034,63.693193734206595,47.50758914804619,30.182598330281063,2019-01-15 00:00:00
258,1.39,22.34,23.97,1.74,0.0,snaive,9.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_9.pickle,14.0,17.5,90.77429250255422,62.740118575689344,48.139576035002165,29.58816070576189,2019-01-15 00:00:00
259,1.48,19.74,22.78,1.69,-0.01,snaive,9.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_9.pickle,16.0,20.0,92.26668441841606,69.37578690908396,48.12472503376448,32.56893166311156,2019-01-15 00:00:00
260,1.69,20.66,22.76,1.57,0.01,snaive,9.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_9.pickle,18.0,22.5,92.89610421788691,72.15736859169257,48.14883466053488,33.8489348095182,2019-01-15 00:00:00
261,1.88,21.51,24.73,1.86,0.02,snaive,9.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_9.pickle,20.0,25.0,89.4733666671977,59.71930331309109,47.8942133884614,28.373354247900217,2019-01-15 00:00:00
262,2.14,21.68,24.48,1.67,-0.01,snaive,9.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_9.pickle,22.0,27.5,91.95509412920606,67.70888381448748,48.307813612385914,31.887466178565123,2019-01-15 00:00:00
263,1.97,18.42,19.56,1.87,0.01,snaive,9.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_9.pickle,24.0,30.0,92.02669251726694,64.7228871633051,48.69084922634398,30.607192051330955,2019-01-15 00:00:00
264,1.96,16.41,19.01,1.63,-0.0,snaive,9.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_9.pickle,26.0,32.5,92.69609202071112,65.52413772784767,48.959724181787344,30.908666455158873,2019-01-15 00:00:00
265,2.4,18.95,21.27,1.7,0.03,snaive,9.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_9.pickle,28.0,35.0,92.72513932761163,66.60474922697502,48.79328269143017,31.3196119833179,2019-01-15 00:00:00
266,2.55,18.98,20.27,1.72,0.02,snaive,9.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_9.pickle,30.0,37.5,92.59643858047671,65.20503683508825,48.94659338763141,30.72357525820899,2019-01-15 00:00:00
267,2.4,15.05,17.33,1.7,0.03,snaive,9.0,70.0,105.0,2019-12-31 23:45:00,{},data/35_9.pickle,35.0,43.75,93.38142660265417,65.78022054991698,49.217984363561264,30.97609809714371,2019-01-15 00:00:00
268,2.81,15.64,16.79,1.77,0.05,snaive,9.0,80.0,120.0,2019-12-31 23:45:00,{},data/40_9.pickle,40.0,50.0,93.4850090548766,66.03568624849153,49.46342542728302,31.22094058528358,2019-01-15 00:00:00
269,2.82,13.96,14.87,1.76,0.03,snaive,9.0,90.0,135.0,2019-12-31 23:45:00,{},data/45_9.pickle,45.0,56.25,93.76301886793642,65.92102083778911,49.438677728098334,31.07131005593134,2019-01-15 00:00:00
270,3.25,14.56,15.87,1.73,0.03,snaive,9.0,100.0,150.0,2019-12-31 23:45:00,{},data/50_9.pickle,50.0,62.5,93.25698553124407,63.593672328290275,49.45719478340496,30.029970587011896,2019-01-15 00:00:00
271,3.27,13.13,14.17,1.67,0.02,snaive,9.0,110.0,165.0,2019-12-31 23:45:00,{},data/55_9.pickle,55.0,68.75,94.49289082312885,67.42102085562989,49.73151380925925,31.80617100820494,2019-01-15 00:00:00
272,3.52,13.14,14.3,1.71,0.05,snaive,9.0,120.0,180.0,2019-12-31 23:45:00,{},data/60_9.pickle,60.0,75.0,93.69908011614034,64.16265255022894,49.569252100783764,30.25478274981055,2019-01-15 00:00:00
273,3.52,11.98,13.14,1.62,0.04,snaive,9.0,130.0,195.0,2019-12-31 23:45:00,{},data/65_9.pickle,65.0,81.25,94.82619315730291,67.25919516612434,49.80264835770754,31.637486514738388,2019-01-15 00:00:00
274,3.67,11.63,12.71,1.62,0.04,snaive,9.0,140.0,210.0,2019-12-31 23:45:00,{},data/70_9.pickle,70.0,87.5,94.62024411913742,65.91858634604067,49.822233280759164,31.011260171439613,2019-01-15 00:00:00
275,3.93,11.67,12.72,1.69,0.04,snaive,9.0,150.0,225.0,2019-12-31 23:45:00,{},data/75_9.pickle,75.0,93.75,94.45848630275717,65.5643001453388,49.861810550252336,30.910014145852724,2019-01-15 00:00:00
276,4.11,11.36,12.31,1.74,0.06,snaive,9.0,160.0,240.0,2019-12-31 23:45:00,{},data/80_9.pickle,80.0,100.0,94.61991262152519,65.80212216657266,49.95220057687735,31.037131908605843,2019-01-15 00:00:00
277,4.13,10.76,11.7,1.68,0.08,snaive,9.0,170.0,255.0,2019-12-31 23:45:00,{},data/85_9.pickle,85.0,106.25,94.68444516903479,65.14006284516412,49.962406091970955,30.671125816591452,2019-01-15 00:00:00
278,4.29,10.52,11.54,1.69,0.06,snaive,9.0,180.0,270.0,2019-12-31 23:45:00,{},data/90_9.pickle,90.0,112.5,94.77183006784006,65.65114552650817,49.967691025734716,30.91924986818547,2019-01-15 00:00:00
279,4.39,10.21,11.14,1.67,0.07,snaive,9.0,190.0,285.0,2019-12-31 23:45:00,{},data/95_9.pickle,95.0,118.75,95.10253090285681,66.08825483211535,50.14486325955353,31.14336264639453,2019-01-15 00:00:00
