,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
265,2.46,20.18,20.91,1.74,-0.02,holtwinters,9.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_9.pickle,28.0,35.0,92.92100472426962,66.60474922697502,48.8043191181751,31.3196119833179,2019-01-15 00:00:00
266,2.66,20.39,20.16,1.79,-0.05,holtwinters,9.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_9.pickle,30.0,37.5,92.79716906959065,65.20503683508825,48.98008082710151,30.72357525820899,2019-01-15 00:00:00
267,2.17,13.84,15.16,1.54,-0.02,holtwinters,9.0,70.0,105.0,2019-12-31 23:45:00,{},data/35_9.pickle,35.0,43.75,93.93435157885749,65.78022054991698,49.46300200711054,30.97609809714371,2019-01-15 00:00:00
268,2.61,14.73,15.08,1.64,0.0,holtwinters,9.0,80.0,120.0,2019-12-31 23:45:00,{},data/40_9.pickle,40.0,50.0,93.94782127293325,66.03568624849153,49.6689599175129,31.22094058528358,2019-01-15 00:00:00
269,2.71,13.56,14.01,1.69,-0.04,holtwinters,9.0,90.0,135.0,2019-12-31 23:45:00,{},data/45_9.pickle,45.0,56.25,94.13737024085734,65.92102083778911,49.63813654269427,31.07131005593134,2019-01-15 00:00:00
270,3.15,14.23,15.15,1.68,-0.03,holtwinters,9.0,100.0,150.0,2019-12-31 23:45:00,{},data/50_9.pickle,50.0,62.5,93.47287983436733,63.593672328290275,49.549822735294505,30.029970587011896,2019-01-15 00:00:00
271,3.3,13.59,13.73,1.69,-0.03,holtwinters,9.0,110.0,165.0,2019-12-31 23:45:00,{},data/55_9.pickle,55.0,68.75,94.48284648191017,67.42102085562989,49.680278202251564,31.80617100820494,2019-01-15 00:00:00
272,3.51,13.31,13.86,1.71,-0.02,holtwinters,9.0,120.0,180.0,2019-12-31 23:45:00,{},data/60_9.pickle,60.0,75.0,93.76356327874207,64.16265255022894,49.58162634047421,30.25478274981055,2019-01-15 00:00:00
273,3.48,11.98,12.53,1.6,0.01,holtwinters,9.0,130.0,195.0,2019-12-31 23:45:00,{},data/65_9.pickle,65.0,81.25,95.05161161283426,67.25919516612434,49.915921460298144,31.637486514738388,2019-01-15 00:00:00
274,3.73,12.01,12.62,1.65,-0.05,holtwinters,9.0,140.0,210.0,2019-12-31 23:45:00,{},data/70_9.pickle,70.0,87.5,94.62752984881433,65.91858634604067,49.79629088307175,31.011260171439613,2019-01-15 00:00:00
275,3.88,11.67,12.03,1.67,-0.03,holtwinters,9.0,150.0,225.0,2019-12-31 23:45:00,{},data/75_9.pickle,75.0,93.75,94.64962247605395,65.5643001453388,49.945477694457324,30.910014145852724,2019-01-15 00:00:00
276,3.98,11.17,11.27,1.68,-0.05,holtwinters,9.0,160.0,240.0,2019-12-31 23:45:00,{},data/80_9.pickle,80.0,100.0,94.84063397984853,65.80212216657266,50.049369885261726,31.037131908605843,2019-01-15 00:00:00
277,4.17,11.01,11.47,1.7,-0.04,holtwinters,9.0,170.0,255.0,2019-12-31 23:45:00,{},data/85_9.pickle,85.0,106.25,94.64320693265798,65.14006284516412,49.91541306081,30.671125816591452,2019-01-15 00:00:00
278,4.36,10.81,11.29,1.71,-0.04,holtwinters,9.0,180.0,270.0,2019-12-31 23:45:00,{},data/90_9.pickle,90.0,112.5,94.89407057233146,65.65114552650817,50.030935800085544,30.91924986818547,2019-01-15 00:00:00
279,4.36,10.23,10.58,1.65,-0.02,holtwinters,9.0,190.0,285.0,2019-12-31 23:45:00,{},data/95_9.pickle,95.0,118.75,95.20886466880047,66.08825483211535,50.18904424666878,31.14336264639453,2019-01-15 00:00:00
