,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
253,0.71,56.39,52.94,1.74,0.01,ma,9.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_9.pickle,4.0,5.0,84.64339668075851,61.858571433219815,44.778467448210826,29.06541527664546,2019-01-15 00:00:00
254,1.03,46.5,37.71,2.01,-0.02,ma,9.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_9.pickle,6.0,7.5,90.44770166879752,68.94342242453106,47.52422940796569,32.2033198504085,2019-01-15 00:00:00
255,1.31,42.56,25.83,2.19,-0.04,ma,9.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_9.pickle,8.0,10.0,92.09318322857118,68.22092431751328,48.740423834893825,32.13707205005713,2019-01-15 00:00:00
256,1.47,37.06,29.57,1.99,-0.04,ma,9.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_9.pickle,10.0,12.5,90.38217763670274,65.49517861802174,47.874507623311814,30.877867721068032,2019-01-15 00:00:00
257,1.5,31.81,25.38,1.62,-0.03,ma,9.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_9.pickle,12.0,15.0,91.52797670498559,63.693193734206595,48.76591565942155,30.182598330281063,2019-01-15 00:00:00
258,1.52,26.15,20.85,1.91,-0.04,ma,9.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_9.pickle,14.0,17.5,92.27018059326768,62.740118575689344,48.94120569211627,29.58816070576189,2019-01-15 00:00:00
259,2.08,33.57,20.34,2.38,-0.07,ma,9.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_9.pickle,16.0,20.0,93.77863554853953,69.37578690908396,49.50509979944436,32.56893166311156,2019-01-15 00:00:00
260,2.3,32.28,21.3,2.14,-0.05,ma,9.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_9.pickle,18.0,22.5,94.9427714987348,72.15736859169257,50.07938304233302,33.8489348095182,2019-01-15 00:00:00
261,2.19,26.48,25.7,2.15,-0.04,ma,9.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_9.pickle,20.0,25.0,89.72525885642874,59.71930331309109,47.909944312298784,28.373354247900217,2019-01-15 00:00:00
262,2.62,29.26,23.36,2.05,-0.06,ma,9.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_9.pickle,22.0,27.5,92.92915700315784,67.70888381448748,49.212973921115754,31.887466178565123,2019-01-15 00:00:00
